case_sample_id,source,case_id,geo_id,pressure_level_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,support_pressure_MPa,P_s,dat_file,max_settlement_m,max_heave_m,peak_abutment_stress_MPa,support_pressure_MPa_from_summary,q_top_MPa_from_summary,summary_file,status,qc_flag,meets_control,design_note
stage2_s2_g02_p06,stage2,s2_g02_p06,g02,p06,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,2,8e+08,s2_g02_p06.dat,34.63653,6.68501,72.26877,2,26.0201,工况\flac3d_support_supplement_cases\summary_s2_g02_p06.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g02_p07,stage2,s2_g02_p07,g02,p07,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,2.3,9.2e+08,s2_g02_p07.dat,24.91344,5.019156,72.312,2.3,26.0201,工况\flac3d_support_supplement_cases\summary_s2_g02_p07.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g02_p08,stage2,s2_g02_p08,g02,p08,1169.17,1.09257,3.94952,26.0201,1.16045,0.654002,26.9049,0.935722,2.6,1.04e+09,s2_g02_p08.dat,13.83594,2.939815,72.46446,2.6,26.0201,工况\flac3d_support_supplement_cases\summary_s2_g02_p08.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g03_p01,stage2,s2_g03_p01,g03,p01,970.429,0.810822,3.35793,21.2503,0.72795,1.03067,32.9622,0.620624,0.5,2e+08,s2_g03_p01.dat,46.37341,0.6772589,73.05757,0.5,21.2503,工况\flac3d_support_search_cases\summary_s2_g03_p01.tab,done,settlement_gt_2m,0,
stage2_s2_g03_p02,stage2,s2_g03_p02,g03,p02,970.429,0.810822,3.35793,21.2503,0.72795,1.03067,32.9622,0.620624,0.8,3.2e+08,s2_g03_p02.dat,39.86691,0.527951,78.3435,0.8,21.2503,工况\flac3d_support_search_cases\summary_s2_g03_p02.tab,done,settlement_gt_2m,0,
stage2_s2_g03_p03,stage2,s2_g03_p03,g03,p03,970.429,0.810822,3.35793,21.2503,0.72795,1.03067,32.9622,0.620624,1.1,4.4e+08,s2_g03_p03.dat,28.6397,0.3473503,75.03146,1.1,21.2503,工况\flac3d_support_search_cases\summary_s2_g03_p03.tab,done,settlement_gt_2m,0,
stage2_s2_g03_p04,stage2,s2_g03_p04,g03,p04,970.429,0.810822,3.35793,21.2503,0.72795,1.03067,32.9622,0.620624,1.4,5.6e+08,s2_g03_p04.dat,0.8530824,0.224266,76.06664,1.4,21.2503,工况\flac3d_support_search_cases\summary_s2_g03_p04.tab,done,ok,1,
stage2_s2_g03_p05,stage2,s2_g03_p05,g03,p05,970.429,0.810822,3.35793,21.2503,0.72795,1.03067,32.9622,0.620624,1.7,6.8e+08,s2_g03_p05.dat,0.7451849,0.2236549,75.98541,1.7,21.2503,工况\flac3d_support_search_cases\summary_s2_g03_p05.tab,done,ok,1,
stage2_s2_g04_p01,stage2,s2_g04_p01,g04,p01,813.245,1.17545,4.38039,17.4779,1.01777,1.3409,28.9142,1.08996,0.5,2e+08,s2_g04_p01.dat,0.6469805,0.1797912,64.20166,0.5,17.4779,工况\flac3d_support_search_cases\summary_s2_g04_p01.tab,done,ok,1,
stage2_s2_g04_p02,stage2,s2_g04_p02,g04,p02,813.245,1.17545,4.38039,17.4779,1.01777,1.3409,28.9142,1.08996,0.8,3.2e+08,s2_g04_p02.dat,0.6102723,0.178723,63.94681,0.8,17.4779,工况\flac3d_support_search_cases\summary_s2_g04_p02.tab,done,ok,1,
stage2_s2_g04_p03,stage2,s2_g04_p03,g04,p03,813.245,1.17545,4.38039,17.4779,1.01777,1.3409,28.9142,1.08996,1.1,4.4e+08,s2_g04_p03.dat,0.5703491,0.1779464,63.79287,1.1,17.4779,工况\flac3d_support_search_cases\summary_s2_g04_p03.tab,done,ok,1,
stage2_s2_g04_p04,stage2,s2_g04_p04,g04,p04,813.245,1.17545,4.38039,17.4779,1.01777,1.3409,28.9142,1.08996,1.4,5.6e+08,s2_g04_p04.dat,0.5391774,0.1762303,63.59716,1.4,17.4779,工况\flac3d_support_search_cases\summary_s2_g04_p04.tab,done,ok,1,
stage2_s2_g04_p05,stage2,s2_g04_p05,g04,p05,813.245,1.17545,4.38039,17.4779,1.01777,1.3409,28.9142,1.08996,1.7,6.8e+08,s2_g04_p05.dat,0.51201,0.1755338,63.51869,1.7,17.4779,工况\flac3d_support_search_cases\summary_s2_g04_p05.tab,done,ok,1,
stage2_s2_g05_p01,stage2,s2_g05_p01,g05,p01,1010.44,0.90744,5.34951,22.2105,1.22137,0.60916,35.6424,0.760765,0.5,2e+08,s2_g05_p01.dat,63.11472,2.81112,65.92147,0.5,22.2105,工况\flac3d_support_search_cases\summary_s2_g05_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g05_p02,stage2,s2_g05_p02,g05,p02,1010.44,0.90744,5.34951,22.2105,1.22137,0.60916,35.6424,0.760765,0.8,3.2e+08,s2_g05_p02.dat,56.29462,2.496564,62.58111,0.8,22.2105,工况\flac3d_support_search_cases\summary_s2_g05_p02.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g05_p03,stage2,s2_g05_p03,g05,p03,1010.44,0.90744,5.34951,22.2105,1.22137,0.60916,35.6424,0.760765,1.1,4.4e+08,s2_g05_p03.dat,52.53658,2.305717,63.99617,1.1,22.2105,工况\flac3d_support_search_cases\summary_s2_g05_p03.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g05_p04,stage2,s2_g05_p04,g05,p04,1010.44,0.90744,5.34951,22.2105,1.22137,0.60916,35.6424,0.760765,1.4,5.6e+08,s2_g05_p04.dat,45.78706,1.926842,63.57924,1.4,22.2105,工况\flac3d_support_search_cases\summary_s2_g05_p04.tab,done,settlement_gt_2m,0,
stage2_s2_g05_p05,stage2,s2_g05_p05,g05,p05,1010.44,0.90744,5.34951,22.2105,1.22137,0.60916,35.6424,0.760765,1.7,6.8e+08,s2_g05_p05.dat,41.01066,1.607012,62.98539,1.7,22.2105,工况\flac3d_support_search_cases\summary_s2_g05_p05.tab,done,settlement_gt_2m,0,
stage2_s2_g05_p06,stage2,s2_g05_p06,g05,p06,1010.44,0.90744,5.34951,22.2106,1.22137,0.60916,35.6424,0.760765,2,8e+08,s2_g05_p06.dat,32.63561,1.407481,62.06905,2,22.2106,工况\flac3d_support_supplement_cases\summary_s2_g05_p06.tab,done,settlement_gt_2m,0,
stage2_s2_g05_p07,stage2,s2_g05_p07,g05,p07,1010.44,0.90744,5.34951,22.2106,1.22137,0.60916,35.6424,0.760765,2.3,9.2e+08,s2_g05_p07.dat,1.047937,0.2036203,65.63684,2.3,22.2106,工况\flac3d_support_supplement_cases\summary_s2_g05_p07.tab,done,ok,1,
stage2_s2_g05_p08,stage2,s2_g05_p08,g05,p08,1010.44,0.90744,5.34951,22.2106,1.22137,0.60916,35.6424,0.760765,2.6,1.04e+09,s2_g05_p08.dat,0.8989447,0.1968312,66.26446,2.6,22.2106,工况\flac3d_support_supplement_cases\summary_s2_g05_p08.tab,done,ok,1,
stage2_s2_g06_p01,stage2,s2_g06_p01,g06,p01,1047.85,1.0677,4.58765,23.1085,0.794694,0.74213,30.1717,1.22538,0.5,2e+08,s2_g06_p01.dat,50.76212,4.429366,63.80827,0.5,23.1085,工况\flac3d_support_search_cases\summary_s2_g06_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g06_p02,stage2,s2_g06_p02,g06,p02,1047.85,1.0677,4.58765,23.1085,0.794694,0.74213,30.1717,1.22538,0.8,3.2e+08,s2_g06_p02.dat,49.80215,3.057528,64.08489,0.8,23.1085,工况\flac3d_support_search_cases\summary_s2_g06_p02.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g06_p03,stage2,s2_g06_p03,g06,p03,1047.85,1.0677,4.58765,23.1085,0.794694,0.74213,30.1717,1.22538,1.1,4.4e+08,s2_g06_p03.dat,47.71328,2.593622,65.073,1.1,23.1085,工况\flac3d_support_search_cases\summary_s2_g06_p03.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g06_p04,stage2,s2_g06_p04,g06,p04,1047.85,1.0677,4.58765,23.1085,0.794694,0.74213,30.1717,1.22538,1.4,5.6e+08,s2_g06_p04.dat,38.27412,2.092758,62.6515,1.4,23.1085,工况\flac3d_support_search_cases\summary_s2_g06_p04.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g06_p05,stage2,s2_g06_p05,g06,p05,1047.85,1.0677,4.58765,23.1085,0.794694,0.74213,30.1717,1.22538,1.7,6.8e+08,s2_g06_p05.dat,14.98059,0.8901771,59.62643,1.7,23.1085,工况\flac3d_support_search_cases\summary_s2_g06_p05.tab,done,settlement_gt_2m,0,
stage2_s2_g06_p06,stage2,s2_g06_p06,g06,p06,1047.85,1.0677,4.58765,23.1084,0.794694,0.74213,30.1717,1.22538,2,8e+08,s2_g06_p06.dat,1.262698,0.2411072,67.67035,2,23.1084,工况\flac3d_support_supplement_cases\summary_s2_g06_p06.tab,done,ok,1,
stage2_s2_g06_p07,stage2,s2_g06_p07,g06,p07,1047.85,1.0677,4.58765,23.1084,0.794694,0.74213,30.1717,1.22538,2.3,9.2e+08,s2_g06_p07.dat,1.083865,0.2321321,67.00475,2.3,23.1084,工况\flac3d_support_supplement_cases\summary_s2_g06_p07.tab,done,ok,1,
stage2_s2_g06_p08,stage2,s2_g06_p08,g06,p08,1047.85,1.0677,4.58765,23.1084,0.794694,0.74213,30.1717,1.22538,2.6,1.04e+09,s2_g06_p08.dat,0.9675064,0.2252455,67.25341,2.6,23.1084,工况\flac3d_support_supplement_cases\summary_s2_g06_p08.tab,done,ok,1,
stage2_s2_g07_p01,stage2,s2_g07_p01,g07,p01,1039.59,1.32627,3.26453,22.9102,0.904416,0.862624,39.0701,1.13211,0.5,2e+08,s2_g07_p01.dat,1.12091,0.2852179,80.19118,0.5,22.9102,工况\flac3d_support_search_cases\summary_s2_g07_p01.tab,done,ok,1,
stage2_s2_g07_p02,stage2,s2_g07_p02,g07,p02,1039.59,1.32627,3.26453,22.9102,0.904416,0.862624,39.0701,1.13211,0.8,3.2e+08,s2_g07_p02.dat,1.023666,0.285582,79.78378,0.8,22.9102,工况\flac3d_support_search_cases\summary_s2_g07_p02.tab,done,ok,1,
stage2_s2_g07_p03,stage2,s2_g07_p03,g07,p03,1039.59,1.32627,3.26453,22.9102,0.904416,0.862624,39.0701,1.13211,1.1,4.4e+08,s2_g07_p03.dat,0.9442981,0.2816044,80.12804,1.1,22.9102,工况\flac3d_support_search_cases\summary_s2_g07_p03.tab,done,ok,1,
stage2_s2_g07_p04,stage2,s2_g07_p04,g07,p04,1039.59,1.32627,3.26453,22.9102,0.904416,0.862624,39.0701,1.13211,1.4,5.6e+08,s2_g07_p04.dat,0.8890113,0.2819015,79.78791,1.4,22.9102,工况\flac3d_support_search_cases\summary_s2_g07_p04.tab,done,ok,1,
stage2_s2_g07_p05,stage2,s2_g07_p05,g07,p05,1039.59,1.32627,3.26453,22.9102,0.904416,0.862624,39.0701,1.13211,1.7,6.8e+08,s2_g07_p05.dat,0.8413049,0.2808266,79.45689,1.7,22.9102,工况\flac3d_support_search_cases\summary_s2_g07_p05.tab,done,ok,1,
stage2_s2_g08_p01,stage2,s2_g08_p01,g08,p01,944.347,1.00632,4.3246,20.6243,0.985773,0.703481,28.2107,0.588466,0.5,2e+08,s2_g08_p01.dat,37.9704,2.603293,60.38083,0.5,20.6243,工况\flac3d_support_search_cases\summary_s2_g08_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g08_p02,stage2,s2_g08_p02,g08,p02,944.347,1.00632,4.3246,20.6243,0.985773,0.703481,28.2107,0.588466,0.8,3.2e+08,s2_g08_p02.dat,33.65668,1.876945,58.42347,0.8,20.6243,工况\flac3d_support_search_cases\summary_s2_g08_p02.tab,done,settlement_gt_2m,0,
stage2_s2_g08_p03,stage2,s2_g08_p03,g08,p03,944.347,1.00632,4.3246,20.6243,0.985773,0.703481,28.2107,0.588466,1.1,4.4e+08,s2_g08_p03.dat,30.02459,1.581246,59.00242,1.1,20.6243,工况\flac3d_support_search_cases\summary_s2_g08_p03.tab,done,settlement_gt_2m,0,
stage2_s2_g08_p04,stage2,s2_g08_p04,g08,p04,944.347,1.00632,4.3246,20.6243,0.985773,0.703481,28.2107,0.588466,1.4,5.6e+08,s2_g08_p04.dat,1.410677,0.2055031,64.36549,1.4,20.6243,工况\flac3d_support_search_cases\summary_s2_g08_p04.tab,done,ok,1,
stage2_s2_g08_p05,stage2,s2_g08_p05,g08,p05,944.347,1.00632,4.3246,20.6243,0.985773,0.703481,28.2107,0.588466,1.7,6.8e+08,s2_g08_p05.dat,1.042051,0.1977512,62.73228,1.7,20.6243,工况\flac3d_support_search_cases\summary_s2_g08_p05.tab,done,ok,1,
stage2_s2_g09_p01,stage2,s2_g09_p01,g09,p01,926.351,0.973054,3.62756,20.1924,0.865052,1.20112,36.338,1.16017,0.5,2e+08,s2_g09_p01.dat,0.7867025,0.2216064,74.69158,0.5,20.1924,工况\flac3d_support_search_cases\summary_s2_g09_p01.tab,done,ok,1,
stage2_s2_g09_p02,stage2,s2_g09_p02,g09,p02,926.351,0.973054,3.62756,20.1924,0.865052,1.20112,36.338,1.16017,0.8,3.2e+08,s2_g09_p02.dat,0.7185722,0.2192225,75.09603,0.8,20.1924,工况\flac3d_support_search_cases\summary_s2_g09_p02.tab,done,ok,1,
stage2_s2_g09_p03,stage2,s2_g09_p03,g09,p03,926.351,0.973054,3.62756,20.1924,0.865052,1.20112,36.338,1.16017,1.1,4.4e+08,s2_g09_p03.dat,0.6691395,0.2195768,74.75576,1.1,20.1924,工况\flac3d_support_search_cases\summary_s2_g09_p03.tab,done,ok,1,
stage2_s2_g09_p04,stage2,s2_g09_p04,g09,p04,926.351,0.973054,3.62756,20.1924,0.865052,1.20112,36.338,1.16017,1.4,5.6e+08,s2_g09_p04.dat,0.6314903,0.2166739,74.82434,1.4,20.1924,工况\flac3d_support_search_cases\summary_s2_g09_p04.tab,done,ok,1,
stage2_s2_g09_p05,stage2,s2_g09_p05,g09,p05,926.351,0.973054,3.62756,20.1924,0.865052,1.20112,36.338,1.16017,1.7,6.8e+08,s2_g09_p05.dat,0.599434,0.2132887,74.76878,1.7,20.1924,工况\flac3d_support_search_cases\summary_s2_g09_p05.tab,done,ok,1,
stage2_s2_g10_p01,stage2,s2_g10_p01,g10,p01,1194.37,1.39118,5.19556,26.625,0.685729,0.948215,37.5038,0.73908,0.5,2e+08,s2_g10_p01.dat,80.24329,2.755892,75.59515,0.5,26.625,工况\flac3d_support_search_cases\summary_s2_g10_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g10_p02,stage2,s2_g10_p02,g10,p02,1194.37,1.39118,5.19556,26.625,0.685729,0.948215,37.5038,0.73908,0.8,3.2e+08,s2_g10_p02.dat,68.86935,2.400021,73.83968,0.8,26.625,工况\flac3d_support_search_cases\summary_s2_g10_p02.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g10_p03,stage2,s2_g10_p03,g10,p03,1194.37,1.39118,5.19556,26.625,0.685729,0.948215,37.5038,0.73908,1.1,4.4e+08,s2_g10_p03.dat,56.99006,1.891953,74.87146,1.1,26.625,工况\flac3d_support_search_cases\summary_s2_g10_p03.tab,done,settlement_gt_2m,0,
stage2_s2_g10_p04,stage2,s2_g10_p04,g10,p04,1194.37,1.39118,5.19556,26.625,0.685729,0.948215,37.5038,0.73908,1.4,5.6e+08,s2_g10_p04.dat,2.085425,0.3562454,73.68269,1.4,26.625,工况\flac3d_support_search_cases\summary_s2_g10_p04.tab,done,settlement_gt_2m,0,
stage2_s2_g10_p05,stage2,s2_g10_p05,g10,p05,1194.37,1.39118,5.19556,26.625,0.685729,0.948215,37.5038,0.73908,1.7,6.8e+08,s2_g10_p05.dat,1.633369,0.3533818,73.54223,1.7,26.625,工况\flac3d_support_search_cases\summary_s2_g10_p05.tab,done,ok,1,
stage2_s2_g11_p01,stage2,s2_g11_p01,g11,p01,1066.57,1.406,5.7488,23.5577,0.807871,1.13671,35.4538,0.969579,0.5,2e+08,s2_g11_p01.dat,1.490204,0.2904161,71.12446,0.5,23.5577,工况\flac3d_support_search_cases\summary_s2_g11_p01.tab,done,ok,1,
stage2_s2_g11_p02,stage2,s2_g11_p02,g11,p02,1066.57,1.406,5.7488,23.5577,0.807871,1.13671,35.4538,0.969579,0.8,3.2e+08,s2_g11_p02.dat,1.285226,0.2864819,70.58501,0.8,23.5577,工况\flac3d_support_search_cases\summary_s2_g11_p02.tab,done,ok,1,
stage2_s2_g11_p03,stage2,s2_g11_p03,g11,p03,1066.57,1.406,5.7488,23.5577,0.807871,1.13671,35.4538,0.969579,1.1,4.4e+08,s2_g11_p03.dat,1.186174,0.2872029,70.07825,1.1,23.5577,工况\flac3d_support_search_cases\summary_s2_g11_p03.tab,done,ok,1,
stage2_s2_g11_p04,stage2,s2_g11_p04,g11,p04,1066.57,1.406,5.7488,23.5577,0.807871,1.13671,35.4538,0.969579,1.4,5.6e+08,s2_g11_p04.dat,1.100156,0.2851989,69.91276,1.4,23.5577,工况\flac3d_support_search_cases\summary_s2_g11_p04.tab,done,ok,1,
stage2_s2_g11_p05,stage2,s2_g11_p05,g11,p05,1066.57,1.406,5.7488,23.5577,0.807871,1.13671,35.4538,0.969579,1.7,6.8e+08,s2_g11_p05.dat,1.037077,0.2847492,69.80846,1.7,23.5577,工况\flac3d_support_search_cases\summary_s2_g11_p05.tab,done,ok,1,
stage2_s2_g12_p01,stage2,s2_g12_p01,g12,p01,982.834,1.46282,4.12736,21.548,1.2624,1.11281,37.8821,0.825097,0.5,2e+08,s2_g12_p01.dat,0.9891187,0.2479261,70.3513,0.5,21.548,工况\flac3d_support_search_cases\summary_s2_g12_p01.tab,done,ok,1,
stage2_s2_g12_p02,stage2,s2_g12_p02,g12,p02,982.834,1.46282,4.12736,21.548,1.2624,1.11281,37.8821,0.825097,0.8,3.2e+08,s2_g12_p02.dat,0.9240855,0.2502748,69.48151,0.8,21.548,工况\flac3d_support_search_cases\summary_s2_g12_p02.tab,done,ok,1,
stage2_s2_g12_p03,stage2,s2_g12_p03,g12,p03,982.834,1.46282,4.12736,21.548,1.2624,1.11281,37.8821,0.825097,1.1,4.4e+08,s2_g12_p03.dat,0.8717355,0.2504674,68.81402,1.1,21.548,工况\flac3d_support_search_cases\summary_s2_g12_p03.tab,done,ok,1,
stage2_s2_g12_p04,stage2,s2_g12_p04,g12,p04,982.834,1.46282,4.12736,21.548,1.2624,1.11281,37.8821,0.825097,1.4,5.6e+08,s2_g12_p04.dat,0.8189667,0.2489183,68.81564,1.4,21.548,工况\flac3d_support_search_cases\summary_s2_g12_p04.tab,done,ok,1,
stage2_s2_g12_p05,stage2,s2_g12_p05,g12,p05,982.834,1.46282,4.12736,21.548,1.2624,1.11281,37.8821,0.825097,1.7,6.8e+08,s2_g12_p05.dat,0.7698247,0.248001,68.96518,1.7,21.548,工况\flac3d_support_search_cases\summary_s2_g12_p05.tab,done,ok,1,
stage2_s2_g13_p01,stage2,s2_g13_p01,g13,p01,913.703,0.878782,4.72666,19.8889,1.29921,1.36818,31.1635,1.00076,0.5,2e+08,s2_g13_p01.dat,0.9260076,0.1891898,66.49077,0.5,19.8889,工况\flac3d_support_search_cases\summary_s2_g13_p01.tab,done,ok,1,
stage2_s2_g13_p02,stage2,s2_g13_p02,g13,p02,913.703,0.878782,4.72666,19.8889,1.29921,1.36818,31.1635,1.00076,0.8,3.2e+08,s2_g13_p02.dat,0.8202952,0.1893839,66.11383,0.8,19.8889,工况\flac3d_support_search_cases\summary_s2_g13_p02.tab,done,ok,1,
stage2_s2_g13_p03,stage2,s2_g13_p03,g13,p03,913.703,0.878782,4.72666,19.8889,1.29921,1.36818,31.1635,1.00076,1.1,4.4e+08,s2_g13_p03.dat,0.7423564,0.1893157,66.01177,1.1,19.8889,工况\flac3d_support_search_cases\summary_s2_g13_p03.tab,done,ok,1,
stage2_s2_g13_p04,stage2,s2_g13_p04,g13,p04,913.703,0.878782,4.72666,19.8889,1.29921,1.36818,31.1635,1.00076,1.4,5.6e+08,s2_g13_p04.dat,0.6784178,0.1871346,65.93596,1.4,19.8889,工况\flac3d_support_search_cases\summary_s2_g13_p04.tab,done,ok,1,
stage2_s2_g13_p05,stage2,s2_g13_p05,g13,p05,913.703,0.878782,4.72666,19.8889,1.29921,1.36818,31.1635,1.00076,1.7,6.8e+08,s2_g13_p05.dat,0.6424174,0.1864813,65.73675,1.7,19.8889,工况\flac3d_support_search_cases\summary_s2_g13_p05.tab,done,ok,1,
stage2_s2_g14_p01,stage2,s2_g14_p01,g14,p01,889.333,1.2134,5.44252,19.304,0.620336,0.773707,26.0371,1.28032,0.5,2e+08,s2_g14_p01.dat,28.7856,3.486496,66.77742,0.5,19.304,工况\flac3d_support_search_cases\summary_s2_g14_p01.tab,done,settlement_gt_2m;heave_gt_2m,0,
stage2_s2_g14_p02,stage2,s2_g14_p02,g14,p02,889.333,1.2134,5.44252,19.304,0.620336,0.773707,26.0371,1.28032,0.8,3.2e+08,s2_g14_p02.dat,12.3082,1.69783,67.34083,0.8,19.304,工况\flac3d_support_search_cases\summary_s2_g14_p02.tab,done,settlement_gt_2m,0,
stage2_s2_g14_p03,stage2,s2_g14_p03,g14,p03,889.333,1.2134,5.44252,19.304,0.620336,0.773707,26.0371,1.28032,1.1,4.4e+08,s2_g14_p03.dat,1.134649,0.1936666,60.10962,1.1,19.304,工况\flac3d_support_search_cases\summary_s2_g14_p03.tab,done,ok,1,
stage2_s2_g14_p04,stage2,s2_g14_p04,g14,p04,889.333,1.2134,5.44252,19.304,0.620336,0.773707,26.0371,1.28032,1.4,5.6e+08,s2_g14_p04.dat,0.9593389,0.1871998,59.51709,1.4,19.304,工况\flac3d_support_search_cases\summary_s2_g14_p04.tab,done,ok,1,
stage2_s2_g14_p05,stage2,s2_g14_p05,g14,p05,889.333,1.2134,5.44252,19.304,0.620336,0.773707,26.0371,1.28032,1.7,6.8e+08,s2_g14_p05.dat,0.8527503,0.1839458,60.0461,1.7,19.304,工况\flac3d_support_search_cases\summary_s2_g14_p05.tab,done,ok,1,
stage2_s2_g15_p01,stage2,s2_g15_p01,g15,p01,858.297,1.1248,5.86255,18.5591,1.33122,1.29302,25.1698,0.540291,0.5,2e+08,s2_g15_p01.dat,0.8401699,0.1701501,61.97041,0.5,18.5591,工况\flac3d_support_search_cases\summary_s2_g15_p01.tab,done,ok,1,
stage2_s2_g15_p02,stage2,s2_g15_p02,g15,p02,858.297,1.1248,5.86255,18.5591,1.33122,1.29302,25.1698,0.540291,0.8,3.2e+08,s2_g15_p02.dat,0.7621447,0.1694642,61.53338,0.8,18.5591,工况\flac3d_support_search_cases\summary_s2_g15_p02.tab,done,ok,1,
stage2_s2_g15_p03,stage2,s2_g15_p03,g15,p03,858.297,1.1248,5.86255,18.5591,1.33122,1.29302,25.1698,0.540291,1.1,4.4e+08,s2_g15_p03.dat,0.7052965,0.1693217,61.16983,1.1,18.5591,工况\flac3d_support_search_cases\summary_s2_g15_p03.tab,done,ok,1,
stage2_s2_g15_p04,stage2,s2_g15_p04,g15,p04,858.297,1.1248,5.86255,18.5591,1.33122,1.29302,25.1698,0.540291,1.4,5.6e+08,s2_g15_p04.dat,0.6595548,0.1693806,60.83507,1.4,18.5591,工况\flac3d_support_search_cases\summary_s2_g15_p04.tab,done,ok,1,
stage2_s2_g15_p05,stage2,s2_g15_p05,g15,p05,858.297,1.1248,5.86255,18.5591,1.33122,1.29302,25.1698,0.540291,1.7,6.8e+08,s2_g15_p05.dat,0.6154523,0.1686858,60.58802,1.7,18.5591,工况\flac3d_support_search_cases\summary_s2_g15_p05.tab,done,ok,1,
